"filename", "language", "Markdown", "JavaScript", "JSON", "PostCSS", "JavaScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\contexts\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 117, 0, 17, 24, 158
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\AdminEvents.jsx", "JavaScript JSX", 0, 0, 0, 0, 475, 0, 21, 35, 531
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\AdminLogin.jsx", "JavaScript JSX", 0, 0, 0, 0, 112, 0, 2, 15, 129
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\AdminManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 633, 0, 20, 52, 705
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\AdminProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 479, 0, 12, 50, 541
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\AdminUsers.jsx", "JavaScript JSX", 0, 0, 0, 0, 396, 0, 23, 52, 471
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\AdminVendors.jsx", "JavaScript JSX", 0, 0, 0, 0, 220, 0, 9, 17, 246
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\Confrences.jsx", "JavaScript JSX", 0, 0, 0, 0, 116, 0, 1, 15, 132
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\CourtAvailability.jsx", "JavaScript JSX", 0, 0, 0, 0, 404, 0, 4, 32, 440
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\CreateBazaar.jsx", "JavaScript JSX", 0, 0, 0, 0, 1012, 0, 23, 36, 1071
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\CreateBooth.jsx", "JavaScript JSX", 0, 0, 0, 0, 175, 0, 2, 22, 199
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\CreateConfrence.jsx", "JavaScript JSX", 0, 0, 0, 0, 1168, 0, 20, 35, 1223
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\CreateGymSession.jsx", "JavaScript JSX", 0, 0, 0, 0, 928, 0, 18, 33, 979
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\CreateTrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 1051, 0, 18, 32, 1101
